7FFB 7F9D
728C 17BC
406B 21E7
5988 9AEB
C9E8 22B7
C4C3 CFD3
5C5D 5C4D
A0F0 F3BC
B791 5709
E1DD 00DD
1728 37CB
AE44 0363
0141 1BF3
AA3C 0451
A828 7836
9A86 462F
84BB A278
2434 4752
9F30 098C
C329 4C90
0367 AEBD
9361 951B
9689 968C
10C2 DE5F
BA33 3BB1
8B28 8A28
0A8D 0A9C
FE6D DBE8
EBF3 4A35
F1FA 709D
B0F0 1570
5D6B 5D6A
AB64 AB66
948D 84B8
F0F2 9786
44AA 47A5
233B 2950
5C38 5C8E
54D5 5FC5
51ED 50B7
5AC7 5ADD
8A3D FDEE
C3E4 3E8F
CFE0 B2EF
EDCB ECC6
E1D6 3E9E
AD21 AD20
864F 6083
56A9 56AC
8339 D081
73DB C308
3440 2F40
BBA3 AB06
7653 76E1
F4A9 F4AC
235F 2571
F649 FB2D
869E A09E
2EF4 2E94
1509 1ECE
B0C7 0DE2
6090 1C41
90FB 464F
9E12 0114
D023 47D1
C6B2 E640
0C93 D540
A88E FD24
7A8A 1B8A
77B5 F273
67A6 67A4
42D9 2B00
01F2 9E2F
843B A767
4637 CD62
7D1B 7D1D
9C65 9664
A3D8 63AB
C1FD 16FB
8A31 02E2
1020 BB9A
047C 9469
CBC5 EBFB
5786 36F4
D4E9 DE0C
5F84 9760
758C 754F
21B0 1131
F973 78CF
E16A 30B7
E223 E2D3
506F 0074
7AC8 3AF7
88B3 0876
344C 2E4A
609D 03F7
8E41 833C
EB79 1B54
F94B 379F
BC3B AC8B
7B7C A20D
3334 FC82
D013 C246
FF6F 8B59
6DF4 FD5F
C8B6 2ABA
6FD1 FECD
9F46 0956
BBF4 A786
C6A6 1ADD
4472 0FD5
968F A0F3
212E 32F8
820C B7F9
2299 32FC
7730 7B89
F0AF 1E24
9952 0AB9
A2E9 8D66
ED23 7C20
030D 03ED
E1AA 40AA
DAA8 6A0E
BCBD A6BD
6FAB 6D7A
689A 699A
0923 0913
A348 6CE8
2DA5 3E05
7D12 AD85
EBC9 B122
0340 8351
B4E7 B4BE
C6B5 F8DD
A8BC C461
1BC4 1ACF
D5F8 1529
0B23 040F
1C82 7C3F
D2B6 D2C4
EEBB 34CD
FA0C CAA9
C721 C18C
2506 3F08
681A 7437
0BD9 2000
32AD 1B1E
5550 D041
68A8 7F66
616B 8DE6
FF7F 8B4C
31BA F18A
7A2B 79AB
E33A 25B6
9BAF 9B04
C89B 181D
6A6B 6286
F415 F894
A5D3 A5D2
8460 A2B2
C6C6 E6FA
1176 1E6B
03B1 03AB
0A86 046E
7946 2FAF
0141 1BF3
2358 E538
E417 34FE
E0BD D78E
4078 37CE
C588 38DD
F842 7585
1D43 BD92
9503 AEDC
EEAA 4447
CC3A B26D
DE1E D38F
D39C D5FC
C7F2 C2F3
CB8E BC83
2A9D 2BFA
D6CB E027
C52C FE91
F4FA F4F7
6E02 6EA3
55F6 80D7
D0B1 ACD6
F5E8 1576
BFD3 C3C3
D617 36CA
8309 CC39
920F 8AA3
4FED 8FD0
338B 2356
8B31 F4E2
6983 D0B4
D1C8 2129
E09B A7A3
2781 7F72
C7CB 1725
96D6 73D3
7EB2 4333
915B B45C
ADA5 DFCF
697C 88B0
90E3 80B2
BD2A BD26
E4CE 4E05
D800 1DA1
C06F D104
C4D8 1681
A2BA EEAF
9769 8744
D4CE B5B8
4C50 EC49
EDA3 4DA2
0648 615E
D4D3 FDD8
A02A 8D27
20F4 6246
5C0C 0CA9
325D 029D
E83D EEDD
AF17 A42D
6351 8043
9741 97FD
5921 9993
CE44 6EFF
AAB3 D358
4CE1 3344
0395 BEC8
81F1 80F0
5DB9 5DD7
85D1 C059
CC97 DCFD
765D 6B8B
86C9 CF02
79D4 E7DC
F81C F819
AACF FC68
CAD7 7CDE
CD76 B9BE
3121 B45D
4ED5 EDC6
CF7F 074C
6D4F 6D95
477E 92AE
04F6 0F96
72F6 E19B
F90D FF0E
22AB 12FE
1EEB D97D
C8FE 182D
E1C3 3CD2
B4BC BFED
8622 8C23
0111 0110
07D5 52C5
5FB1 046C
6E7A 5E6A
8A38 9285
7651 E0E1
16AC BC6D
353B 2355
4BFF 3AD3
3C37 979C
AE50 6F5C
AC8F 818F
4142 357F
D18E DBF5
D88F D9B9
476A 7F76
B568 1FE6
D8EA 7DB6
6964 92B2
844A B26B
830C D954
0087 DF8C
98FE 8898
608F 0C34
071A 273B
FA90 BCFC
E8AA E8DE
8169 4BBD
906E 6DE5
AD46 A076
7F0D 7F0E
